,NH4_Loss(gN/day/m2)_Delineated_Average,Year,Step,DON_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,NO3_Loss(gN/day/m2)_Delineated_Average,DOC_Loss(gC/day/m2)_Delineated_Average,DOC_mg/L,Sfc_Water_Temp_C,CO2
0,3.560858021955937e-05,1998,0,0.001554522896185517,11.570354461669922,0.00017254504200536758,0.0523499920964241,0.14957140598978316,2.6374998,0.03739285149744579
1,7.595903753099265e-06,1998,1,0.0003234171017538756,9.667781829833984,3.2951560569927096e-05,0.010933304205536842,0.031238012015819553,3.3125,0.007809503003954888
2,8.019587767194025e-06,1998,2,0.0003306657017674297,9.306119918823242,3.0581195460399606e-05,0.01118151657283306,0.03194719020809446,0.7624999,0.007986797552023615
3,8.621765118732583e-06,1998,3,0.0003430098004173488,8.75596809387207,2.953229159174953e-05,0.01157247740775347,0.03306422116500991,0.08749986,0.008266055291252478
4,8.446983883914074e-06,1998,4,0.00032469420693814754,7.950657367706299,2.6074798370245844e-05,0.01094379834830761,0.03126799528087889,3.0875,0.007816998820219722
5,7.999168701644521e-06,1998,5,0.0002975386450998485,7.190545082092285,2.2379768779501322e-05,0.01002553291618824,0.02864437976053783,1.2124999,0.007161094940134458
6,7.4780837167054415e-06,1998,6,0.00027003345894627273,6.532505989074707,1.918000270961784e-05,0.009101303294301031,0.026003723698002947,-6.0625,0.006500930924500737
7,7.024831120361342e-06,1998,7,0.00024642868083901703,5.978877067565918,1.6698966646799818e-05,0.008307681418955326,0.023736232625586648,-1.6375003000000001,0.005934058156396662
8,6.5023955357901295e-06,1998,8,0.00022160324442666027,5.458420753479004,1.4374591046362186e-05,0.0074786366894841185,0.021367533398526053,2.7875,0.005341883349631513
9,5.984877134324051e-06,1998,9,0.0001980658562388271,4.98698616027832,1.233287275681505e-05,0.006693722680211067,0.01912492194346019,3.7625,0.004781230485865048
10,5.501099167304346e-06,1998,10,0.00017676038260105997,4.5655035972595215,1.0553527317824773e-05,0.005985070485621691,0.017100201387490545,4.3625,0.004275050346872636
11,5.14427529196837e-06,1998,11,0.00016026470984797925,4.1968183517456055,9.249747563444544e-06,0.005433218088001014,0.015523480251431469,6.6125,0.003880870062857867
12,4.8071970013552345e-06,1998,12,0.00014523116988129914,3.849581241607666,8.079600775090512e-06,0.004931520204991102,0.014090057728546008,5.7125,0.003522514432136502
13,4.4426378735806785e-06,1998,13,0.0001302334712818265,3.544504880905152,6.8780268520640675e-06,0.004432357847690582,0.012663879564830236,5.0375,0.003165969891207559
14,4.15276281273691e-06,1998,14,0.00011812677257694304,3.276203155517578,5.933440661465284e-06,0.004026964772492647,0.011505613635693279,3.9125,0.0028764034089233197
15,3.898778231814504e-06,1998,15,0.00010762832971522585,3.0393643379211426,5.1377519412199035e-06,0.003675397951155901,0.010501137003302574,5.9375,0.0026252842508256435
16,3.6603262287826514e-06,1998,16,9.807384776649997e-05,2.8218765258789062,4.473320586839691e-06,0.003355403896421194,0.009586868275489126,6.6875,0.0023967170688722816
17,3.445660468059941e-06,1998,17,8.964473090600222e-05,2.625793218612671,3.941100203519453e-06,0.0030727435369044547,0.008779267248298443,5.4875,0.0021948168120746107
18,3.2665643630025443e-06,1998,18,8.256882574642077e-05,2.4601519107818604,3.5344075968168913e-06,0.002834730083122849,0.008099228808922426,4.3625,0.0020248072022306064
19,3.1178306016954593e-06,1998,19,7.664373697480187e-05,2.298285961151123,3.2238417588814623e-06,0.0026346838567405943,0.007527668162115984,2.6374998,0.001881917040528996
20,2.983567128467257e-06,1998,20,7.139816443668678e-05,2.160850048065185,2.9580669433926232e-06,0.002457458758726716,0.0070213107392191896,2.8625002,0.0017553276848047974
21,2.855663069567527e-06,1998,21,6.655136530753225e-05,2.034473180770874,2.7182004487258386e-06,0.002293803263455629,0.006553723609873226,5.7875,0.0016384309024683064
22,2.7322632831783267e-06,1998,22,6.209428102010861e-05,1.9180037975311282,2.502769802958937e-06,0.0021434237714856863,0.006124067918530532,1.7375001,0.001531016979632633
23,2.634649945321144e-06,1998,23,5.8453755627851926e-05,1.81642484664917,2.340471837669611e-06,0.0020197799894958735,0.0057707999699882105,0.0124999285,0.0014426999924970526
24,2.552923433540854e-06,1998,24,5.534560841624625e-05,1.7248671054840088,2.2097331111581293e-06,0.0019135342445224524,0.005467240698635578,0.0124999285,0.0013668101746588945
25,2.4729868073336547e-06,1998,25,5.243004488875158e-05,1.6406958103179932,2.0840600427618483e-06,0.001814148505218327,0.005183281443480935,2.1875,0.0012958203608702337
26,2.391877615082194e-06,1998,26,4.96256907354109e-05,1.561726689338684,1.9592366697906986e-06,0.001718761632218957,0.004910747520625591,2.7875,0.0012276868801563978
27,2.315396841368056e-06,1998,27,4.704068487626501e-05,1.4883699417114258,1.8446717149345204e-06,0.0016306772595271466,0.004659077884363276,2.0375,0.001164769471090819
28,2.248037617391674e-06,1998,28,4.4754833652405075e-05,1.421318531036377,1.7469029671701717e-06,0.0015525094931945205,0.004435741409127202,0.6125001,0.0011089353522818004
29,2.1869582269573584e-06,1998,29,4.268146585673094e-05,1.3597395420074463,1.6594711951256613e-06,0.0014814690221101046,0.004232768634600299,2.4125,0.0010581921586500747
30,2.124955926774419e-06,1998,30,4.0670671296538785e-05,1.3016738891601562,1.571927896293346e-06,0.0014127608155831695,0.00403645947309477,3.3874998,0.0010091148682736925
