,DON_Loss(gN/day/m2)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,Year,NO3_Loss(gN/day/m2)_Delineated_Average,Step,DOC_Loss(gC/day/m2)_Delineated_Average,DOC_mg/L,Sfc_Water_Temp_C,CO2
0,0.0011462038382887,2.636408680700697e-05,3.575872898101806,1998,0.00012777012307196856,0,0.0384770892560482,0.1099345407315663,2.6374998,0.027483635182891576
1,0.00010395875142421572,2.5010831450344995e-06,0.7257182002067566,1998,1.1072408597101456e-05,1,0.0034605197142809,0.009887199183659715,3.3125,0.002471799795914929
2,7.136151543818414e-05,1.7869838302431162e-06,0.4455498456954956,1998,7.471725439245347e-06,2,0.0023706932552158,0.006773409300616572,0.7624999,0.001693352325154143
3,5.982572474749759e-05,1.5485579751839396e-06,0.409570038318634,1998,6.0642614698736e-06,3,0.001989679178223,0.005684797652065715,0.08749986,0.0014211994130164287
4,5.212251198827289e-05,1.3941564702690812e-06,0.3832445740699768,1998,5.087493263999932e-06,4,0.0017353625735267,0.004958178781504857,3.0875,0.0012395446953762143
5,4.627577436622232e-05,1.277756837225752e-06,0.3589802086353302,1998,4.348221409600228e-06,5,0.0015419683186337,0.004405623767524858,1.2124999,0.0011014059418812145
6,4.2262268834747374e-05,1.1997989304290968e-06,0.3443387150764465,1998,3.822523922281107e-06,6,0.0014092210913076,0.004026345975164571,-6.0625,0.0010065864937911428
7,3.9256989111891016e-05,1.1442804179750965e-06,0.3327508866786957,1998,3.421830342631438e-06,7,0.0013098558411002,0.003742445260286286,-1.6375003,0.0009356113150715715
8,3.619452763814479e-05,1.0838833759407862e-06,0.3136285245418548,1998,3.0557002901332453e-06,8,0.0012082135071977,0.003452038591993429,2.7875,0.0008630096479983572
9,3.313057459308766e-05,1.0200259339399054e-06,0.289691150188446,1998,2.7254295673628803e-06,9,0.0011062122648581,0.003160606471023143,3.7625,0.0007901516177557858
10,3.031235610251315e-05,9.6012513495225e-07,0.2652384638786316,1998,2.4431574274785817e-06,10,0.0010122401872649,0.0028921148207568573,4.3625,0.0007230287051892143
11,2.8172293241368607e-05,9.194976087201212e-07,0.2406390458345413,1998,2.2567007817997364e-06,11,0.0009405228192918004,0.00268720805511943,6.6125,0.0006718020137798575
12,2.6345924197812565e-05,8.865724225870508e-07,0.2163527905941009,1998,2.115690222126432e-06,12,0.0008791067521087825,0.0025117335774536647,5.7125,0.0006279333943634162
13,2.404337647021748e-05,8.338373049809888e-07,0.1945878714323043,1998,1.918277348522679e-06,13,0.0008022202528081834,0.0022920578651662387,5.0375,0.0005730144662915597
14,2.21062837226782e-05,7.897702403170115e-07,0.1762815117835998,1998,1.7557332512296853e-06,14,0.0007375152199529111,0.0021071863427226034,3.9125,0.0005267965856806508
15,2.0330222469056025e-05,7.484220532205654e-07,0.1586634367704391,1998,1.6134548559421091e-06,15,0.0006781945121474564,0.00193769860613559,5.9375,0.0004844246515338975
16,1.859844451246317e-05,7.058069968479685e-07,0.1404484957456588,1998,1.483857090534002e-06,16,0.0006202853401191533,0.0017722438289118666,6.6875,0.00044306095722796665
17,1.7074109564418904e-05,6.678305339846702e-07,0.124462753534317,1998,1.372664655718836e-06,17,0.0005692816339433193,0.0016265189541237695,5.4875,0.0004066297385309424
18,1.581804099259898e-05,6.37235473277542e-07,0.1124586910009384,1998,1.2808512792616966e-06,18,0.000527263677213341,0.0015064676491809744,4.3625,0.0003766169122952436
19,1.4809516869718207e-05,6.13647387126548e-07,0.1016277000308036,1998,1.207038167194696e-06,19,0.0004935226170346141,0.0014100646200988975,2.6374998,0.0003525161550247244
20,1.38880795930163e-05,5.912285701015207e-07,0.0929869413375854,1998,1.1375421991033363e-06,20,0.0004627404559869319,0.0013221155885340913,2.8625002,0.0003305288971335228
21,1.2945133676112164e-05,5.66191829420859e-07,0.0836485102772712,1998,1.0698352070903638e-06,21,0.0004312464152462781,0.001232132614989366,5.7875,0.0003080331537473415
22,1.2089632946299387e-05,5.424686264632328e-07,0.0755786523222923,1998,1.0082753760798369e-06,22,0.0004026317619718611,0.0011503764627767462,1.7375001,0.00028759411569418656
23,1.1467729564174078e-05,5.268872769192967e-07,0.0701429992914199,1998,9.61081923378515e-07,23,0.0003818579134531319,0.0010910226098660913,0.0124999285,0.0002727556524665228
24,1.0928570191026664e-05,5.133459239914373e-07,0.06552055478096,1998,9.197750614475808e-07,24,0.0003638594062067568,0.0010395983034478765,0.0124999285,0.0002598995758619691
25,1.0386616850155406e-05,4.984509018868266e-07,0.060660470277071,1998,8.796568522484449e-07,25,0.00034576482721604407,0.0009878995063315546,2.1875,0.00024697487658288864
26,9.825780580285937e-06,4.815062197849329e-07,0.0555155836045742,1998,8.394798101107881e-07,26,0.000327027722960338,0.0009343649227438229,2.7875,0.00023359123068595572
27,9.306107131124008e-06,4.65354077050506e-07,0.0508384257555007,1998,8.022580004762858e-07,27,0.00030966411577537656,0.000884754616501076,2.0375,0.000221188654125269
28,8.859728950483259e-06,4.516191154380067e-07,0.0469849780201911,1998,7.696402235524147e-07,28,0.0002947526227217168,0.0008421503506334766,0.6125001,0.00021053758765836916
29,8.443733349849936e-06,4.385589136290946e-07,0.0433560498058795,1998,7.394430099338933e-07,29,0.0002808676799759269,0.0008024790856455054,2.4125,0.00020061977141137634
30,8.01264468464069e-06,4.239557824803342e-07,0.039540596306324,1998,7.088735287652526e-07,30,0.0002664748171810061,0.0007613566205171603,3.3874998,0.00019033915512929006
31,7.634014764335006e-06,4.110737563678413e-07,0.036389771848917,1998,6.813544928263582e-07,31,0.0002538257685955614,0.000725216481701604,0.23750007,0.000181304120425401
32,7.312857178476406e-06,4.005442804100312e-07,0.0337598249316215,1998,6.57602299725113e-07,32,0.0002431123866699636,0.0006946068190570389,1.6625001,0.00017365170476425974
33,7.1945032686926425e-06,4.009348231193144e-07,0.0363315716385841,1998,6.577997169188166e-07,33,0.0002390910085523501,0.0006831171672924289,4.4375,0.00017077929182310724
34,7.2036873461911455e-06,4.082431530605391e-07,0.0289612207561731,1998,6.719359930684732e-07,34,0.0002392744499957189,0.000683641285702054,3.6125,0.0001709103214255135
35,6.862444479338592e-06,3.954495468860842e-07,0.0264906696975231,1998,6.455220500356518e-07,35,0.00022790789080318063,0.0006511654022948018,2.6374998,0.00016279135057370046
36,6.5600247580732685e-06,3.8424448689511337e-07,0.0243707336485385,1998,6.217634904714942e-07,36,0.00021784004638902843,0.0006224001325400813,2.4875002,0.00015560003313502032
37,6.287818450800842e-06,3.741491241271433e-07,0.0225383695214986,1998,6.00053169819148e-07,37,0.00020877723000012335,0.0005965063714289239,1.5124999,0.00014912659285723097
38,6.057419795979513e-06,3.658159926089866e-07,0.0210856553167104,1998,5.811687628920481e-07,38,0.0002011055039474741,0.0005745871541356403,-0.58749986,0.00014364678853391008
39,5.865496859769337e-06,3.5913083706873294e-07,0.0199472717940807,1998,5.649986292155518e-07,39,0.00019471922132652253,0.0005563406323614929,-1.8624997,0.00013908515809037323
40,5.67972938370076e-06,3.523941245475726e-07,0.0188163090497255,1998,5.494691777130356e-07,40,0.00018854315567296,0.0005386947304941715,0.46249986,0.00013467368262354287
41,5.487851467478322e-06,3.448488996582455e-07,0.0176507700234651,1998,5.335617174750951e-07,41,0.00018215963791590184,0.0005204561083311482,0.23750007,0.00013011402708278704
42,5.302689714881126e-06,3.373856145572063e-07,0.0165279768407344,1998,5.182174618312274e-07,42,0.00017600275168661028,0.0005028650048188865,1.2124999,0.00012571625120472163
43,5.11135658598505e-06,3.292816188604775e-07,0.0153537252917885,1998,5.025030418437382e-07,43,0.00016964522365015,0.0004847006390004286,2.7875,0.00012117515975010715
44,4.939364316669526e-06,3.219559232547909e-07,0.0143883973360061,1998,4.880085384684207e-07,44,0.00016391969984397292,0.0004683419995542084,-1.4125001,0.0001170854998885521
45,4.806033302884316e-06,3.167708086948551e-07,0.0136860962957143,1998,4.764051197980735e-07,45,0.0001594873028807342,0.0004556780082306692,-1.7875001,0.0001139195020576673
46,4.674621777667198e-06,3.114382707281038e-07,0.0129831545054912,1998,4.6502563577632827e-07,46,0.00015512105892412364,0.0004432030254974962,-0.21249986,0.00011080075637437405
47,4.529596935753943e-06,3.050405723570293e-07,0.0121741881594061,1998,4.5270482473824813e-07,47,0.00015030737267807126,0.00042944963622306077,2.4125,0.00010736240905576519
48,4.372561306809075e-06,2.9768980880362506e-07,0.0113040469586849,1998,4.39431460108608e-07,48,0.000145095051266253,0.0004145572893321514,3.2375002,0.00010363932233303785
49,4.226903456583386e-06,2.908944907176192e-07,0.0105456346645951,1998,4.269031705916859e-07,49,0.00014025579730514437,0.00040073084944326965,1.4375,0.00010018271236081741
50,4.099616035091458e-06,2.851807039405685e-07,0.0099058467894792,1998,4.1578502418815333e-07,50,0.00013603063416667285,0.00038865895476192247,1.5874999,9.716473869048062e-05
51,3.986055162386037e-06,2.801418474973616e-07,0.0093748206272721,1998,4.056707041399932e-07,51,0.00013225735165178776,0.0003778781475765365,-0.96249986,9.446953689413412e-05
52,3.892905624525156e-06,2.762588451332704e-07,0.0089656095951795,1998,3.971879323216854e-07,52,0.00012916314881294966,0.00036903756803699907,-2.3125,9.225939200924977e-05
53,3.803181243711151e-06,2.724434864376235e-07,0.008564586751163,1998,3.890285142915673e-07,53,0.00012618697655852884,0.00036053421873865385,-0.21249986,9.013355468466346e-05
54,3.697515012390795e-06,2.674295558335871e-07,0.0080649610608816,1998,3.796051544213697e-07,54,0.00012269016588106751,0.00035054333108876435,3.5375,8.763583277219109e-05
55,3.578461246434017e-06,2.613772949189297e-07,0.0075188116170465,1998,3.689781635785039e-07,55,0.00011874750634888188,0.00033927858956823395,3.9125,8.481964739205849e-05
56,3.470255705906311e-06,2.559865208695556e-07,0.007057636976242,1998,3.591447637063539e-07,56,0.00011515906953718512,0.0003290259129633861,1.8874999,8.225647824084652e-05
57,3.3746562166925287e-06,2.514943560072425e-07,0.0066451127640903,1998,3.5049868074565893e-07,57,0.00011199992150068284,0.0003199997757162367,4.3625,7.999994392905917e-05
58,3.2972639019135386e-06,2.483491243765457e-07,0.0062554101459681,1998,3.439151612383285e-07,58,0.000109445427369792,0.0003127012210565486,5.0375,7.817530526413715e-05
59,3.2368027405027533e-06,2.463755777171173e-07,0.0059296363033354,1998,3.388410618754279e-07,59,0.0001074435203918256,0.00030698148683378743,2.5625,7.674537170844686e-05
60,3.147167262795847e-06,2.421562896870455e-07,0.005602169316262,1998,3.303324831449572e-07,60,0.00010448274406371638,0.00029852212589633254,3.8375,7.463053147408314e-05
61,3.050048462682753e-06,2.3731772103019466e-07,0.0052502853795886,1998,3.210988381852076e-07,61,0.00010128339636139572,0.0002893811324611306,6.1625,7.234528311528265e-05
