,DON_Pool(gN/m2)_Delineated_Average,DOC_Pool(gC/m2)_Delineated_Average,NH4_Pool(gN/m2)_Delineated_Average,NO3_Pool(gN/m2)_Delineated_Average,Step,Runoff_All(mm/day)_Delineated_Average,Sfc_Water_Temp_C,Criteria,Condition
1309,4.924302441733224,179.25250462123327,0.6203633121081761,0.1512091500418526,1309,0.0332615301012992,20.1125,Meets,Prefire
1310,4.92527757372175,179.4110870361328,0.624141948563712,0.152440241404942,1310,0.0491770356893539,19.7375,Meets,Prefire
1311,4.926280634743827,179.57278660365515,0.619993678161076,0.15325191829885745,1311,0.0597565881907939,19.962502,Meets,Prefire
1312,4.927280289786203,179.7327423095703,0.6167661292212349,0.15372431703976203,1312,0.0431951396167278,19.8125,Meets,Prefire
1313,4.928266320909773,179.88606044224335,0.6158901963915143,0.154072887131146,1313,0.0339425690472126,19.287498,Meets,Prefire
1314,4.929239068712508,180.00647408621654,0.6189560890197754,0.15442632138729087,1314,0.0344108827412128,16.3625,Meets,Prefire
1315,4.930181503295898,180.13153076171875,0.6217842016901289,0.15478548194680886,1315,0.0398100428283214,16.8875,Meets,Prefire
1316,4.931128706250872,180.24991716657368,0.6275845425469534,0.15533425978251858,1316,0.0541266165673732,16.3625,Meets,Prefire
1317,4.932047298976354,180.38817269461498,0.6273088710648672,0.15575737825461772,1317,0.0628188848495483,18.162498,Meets,Prefire
1318,4.932967594691686,180.52294049944197,0.6271978361266001,0.15606027628694258,1318,0.0507312230765819,17.9375,Meets,Prefire
1319,4.933874266488211,180.65383911132815,0.6320773277963909,0.156613141298294,1319,0.0561598241329193,17.5625,Meets,Prefire
1320,4.934800692967006,180.77748979840962,0.6370818614959717,0.15727332660130086,1320,0.0917586013674736,17.037498,Meets,Prefire
1321,4.935683522905623,180.906001499721,0.6387905137879506,0.15788181551865144,1321,0.1285507529973983,17.4875,Meets,Prefire
1322,4.936586107526506,181.04922703334265,0.6360887203897749,0.15838124922343658,1322,0.1095095127820968,18.6875,Meets,Prefire
1323,4.937517983572825,181.20266505650113,0.633675754070282,0.15882102506501317,1323,0.0727918967604637,19.4375,Meets,Prefire
1324,4.938477448054723,181.36949811662947,0.6309150797980172,0.15925492559160487,1324,0.0505427494645118,20.5625,Meets,Prefire
1325,4.93945564542498,181.53489249093192,0.6284928747585841,0.15967341406004745,1325,0.0376299209892749,20.412498,Meets,Prefire
1326,4.940424987248012,181.70147487095426,0.625382363796234,0.1600052203450883,1326,0.0290624294430017,20.4875,Meets,Prefire
1327,4.941420555114746,181.87774658203125,0.621862198625292,0.16028510672705515,1327,0.022292049601674,21.3125,Meets,Prefire
1328,4.942442349025182,182.04966953822546,0.6192160504204886,0.16060662056718544,1328,0.0184144284576177,21.087502,Meets,Prefire
1329,4.943460055759975,182.2056361607143,0.6290773408753532,0.16244322061538688,1329,0.0576641857624053,19.587502,Meets,Prefire
